article_length,num_sentences,avg_word_length,unique_entries,num_relations,relation_density,relation_density_per_sentence,precision,recall,f1,support
720,7,4.880341880341881,11,23,0.03194444444444444,3.2857142857142856,0.0,0.0,0.0,25.0
935,8,4.687898089171974,7,9,0.009625668449197862,1.125,0.0,0.0,0.0,12.0
1018,9,5.1572327044025155,14,18,0.01768172888015717,2.0,0.0,0.0,0.0,20.0
718,3,4.790909090909091,14,23,0.03203342618384401,7.666666666666667,0.0,0.0,0.0,25.0
888,7,5.1521739130434785,4,6,0.006756756756756757,0.8571428571428571,0.0,0.0,0.0,8.0
693,6,4.90990990990991,9,8,0.011544011544011544,1.3333333333333333,0.0,0.0,0.0,9.0
839,6,4.635714285714286,5,7,0.00834326579261025,1.1666666666666667,0.0,0.0,0.0,8.0
749,7,5.025210084033613,12,24,0.03204272363150868,3.4285714285714284,0.3466666666666666,0.08,0.13,25.0
1379,16,5.050228310502283,6,4,0.0029006526468455403,0.25,0.0,0.0,0.0,9.0
778,6,4.659090909090909,4,3,0.0038560411311053984,0.5,0.0,0.0,0.0,6.0
974,8,5.328671328671328,21,36,0.03696098562628337,4.5,0.0,0.0,0.0,38.0
727,8,4.957264957264957,13,22,0.030261348005502064,2.75,0.2608695652173913,0.043478260869565216,0.07453416149068323,23.0
870,5,5.3059701492537314,12,15,0.017241379310344827,3.0,0.7333333333333333,0.2,0.3142857142857143,15.0
1008,9,4.505747126436781,8,7,0.006944444444444444,0.7777777777777778,0.0,0.0,0.0,9.0
923,10,5.0979020979020975,13,18,0.01950162513542795,1.8,0.0,0.0,0.0,21.0
1238,6,4.767326732673268,9,9,0.007269789983844911,1.5,0.0,0.0,0.0,10.0
897,5,4.681818181818182,6,5,0.005574136008918618,1.0,0.0,0.0,0.0,9.0
1053,8,5.098159509202454,8,16,0.015194681861348529,2.0,0.1473684210526316,0.10526315789473684,0.12280701754385963,19.0
814,5,5.317073170731708,8,16,0.019656019656019656,3.2,0.23529411764705882,0.11764705882352941,0.1568627450980392,17.0
1368,13,4.944954128440367,10,16,0.011695906432748537,1.2307692307692308,0.0,0.0,0.0,17.0
1327,8,5.654255319148936,25,35,0.02637528259231349,4.375,0.07665505226480836,0.024390243902439025,0.03700588730025231,41.0
1027,8,4.9447852760736195,10,18,0.017526777020447908,2.25,0.0,0.0,0.0,19.0
764,8,4.752,12,23,0.030104712041884817,2.875,0.05333333333333333,0.08,0.064,25.0
911,8,4.98639455782313,9,14,0.015367727771679473,1.75,0.0,0.0,0.0,14.0
987,5,5.5,17,19,0.019250253292806486,3.8,0.008695652173913044,0.043478260869565216,0.014492753623188404,23.0
752,7,4.790322580645161,8,14,0.018617021276595744,2.0,0.0,0.0,0.0,15.0
801,6,4.809160305343512,5,5,0.006242197253433208,0.8333333333333334,0.0,0.0,0.0,6.0
879,14,4.63013698630137,2,2,0.0022753128555176336,0.14285714285714285,0.0,0.0,0.0,5.0
888,9,4.64625850340136,10,12,0.013513513513513514,1.3333333333333333,0.0,0.0,0.0,14.0
1695,14,4.854014598540146,14,24,0.01415929203539823,1.7142857142857142,0.0,0.0,0.0,26.0
871,5,4.529411764705882,10,11,0.012629161882893225,2.2,0.0,0.0,0.0,15.0
774,5,5.141666666666667,5,4,0.00516795865633075,0.8,0.0,0.0,0.0,5.0
1037,10,4.516666666666667,11,25,0.024108003857280617,2.5,0.12962962962962962,0.07407407407407407,0.09427609427609428,27.0
1424,15,4.337301587301587,6,6,0.004213483146067416,0.4,0.0,0.0,0.0,9.0
891,7,5.124087591240876,5,5,0.005611672278338945,0.7142857142857143,0.0,0.0,0.0,8.0
808,5,4.880597014925373,4,2,0.0024752475247524753,0.4,0.0,0.0,0.0,4.0
1268,14,4.794258373205742,14,24,0.01892744479495268,1.7142857142857142,0.0,0.0,0.0,27.0
842,6,4.955223880597015,6,5,0.0059382422802850355,0.8333333333333334,0.0,0.0,0.0,10.0
667,4,4.491228070175438,5,4,0.005997001499250375,1.0,0.0,0.0,0.0,5.0
852,8,4.4520547945205475,4,2,0.002347417840375587,0.25,0.0,0.0,0.0,3.0
1253,9,4.974874371859296,6,5,0.0039904229848363925,0.5555555555555556,0.0,0.0,0.0,6.0
858,6,5.057971014492754,9,14,0.016317016317016316,2.3333333333333335,0.35714285714285715,0.07142857142857142,0.11904761904761904,14.0
1409,13,4.752136752136752,10,14,0.0099361249112846,1.0769230769230769,0.2,0.06666666666666667,0.1,15.0
885,6,5.223880597014926,3,2,0.0022598870056497176,0.3333333333333333,0.0,0.0,0.0,5.0
1830,13,5.2831541218638,10,8,0.004371584699453552,0.6153846153846154,0.0,0.0,0.0,10.0
759,6,4.804878048780488,9,12,0.015810276679841896,2.0,0.0,0.0,0.0,14.0
1677,12,5.301587301587301,13,17,0.010137149672033392,1.4166666666666667,0.08771929824561403,0.05263157894736842,0.06578947368421052,19.0
1608,15,5.176706827309237,7,7,0.004353233830845771,0.4666666666666667,0.0,0.0,0.0,8.0
1032,7,4.786585365853658,17,27,0.02616279069767442,3.857142857142857,0.0,0.0,0.0,29.0
1182,13,5.005291005291006,22,32,0.02707275803722504,2.4615384615384617,0.0,0.0,0.0,32.0
1552,15,4.877952755905512,17,30,0.019329896907216496,2.0,0.0,0.0,0.0,32.0
1189,10,5.01063829787234,7,9,0.007569386038687973,0.9,0.0,0.0,0.0,11.0
930,10,5.435714285714286,2,1,0.001075268817204301,0.1,0.0,0.0,0.0,2.0
941,9,4.719745222929936,5,5,0.005313496280552604,0.5555555555555556,0.0,0.0,0.0,8.0
1117,8,4.916201117318436,14,17,0.01521933751119069,2.125,0.1375,0.05,0.07333333333333333,20.0
1393,14,4.845132743362832,5,4,0.002871500358937545,0.2857142857142857,0.0,0.0,0.0,4.0
722,6,5.220183486238532,10,10,0.013850415512465374,1.6666666666666667,0.09090909090909091,0.09090909090909091,0.09090909090909091,11.0
819,10,5.166666666666667,11,12,0.014652014652014652,1.2,0.0,0.0,0.0,14.0
1081,5,5.6075949367088604,3,3,0.0027752081406105457,0.6,0.25,0.25,0.25,4.0
1053,7,4.861271676300578,10,9,0.008547008547008548,1.2857142857142858,0.0,0.0,0.0,12.0
843,7,4.962686567164179,12,21,0.02491103202846975,3.0,0.2619047619047619,0.047619047619047616,0.08058608058608059,21.0
1143,9,5.211428571428572,14,25,0.021872265966754154,2.7777777777777777,0.25,0.038461538461538464,0.06666666666666667,26.0
1472,9,4.5436507936507935,8,7,0.004755434782608696,0.7777777777777778,0.0,0.0,0.0,8.0
934,11,4.8344370860927155,6,4,0.004282655246252677,0.36363636363636365,0.0,0.0,0.0,5.0
720,9,4.82051282051282,6,6,0.008333333333333333,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.4761904761904761,6.0
1757,11,5.2894736842105265,5,4,0.0022766078542970974,0.36363636363636365,0.0,0.0,0.0,5.0
768,8,5.264957264957265,10,12,0.015625,1.5,0.0,0.0,0.0,14.0
2266,13,5.146892655367232,3,2,0.00088261253309797,0.15384615384615385,0.0,0.0,0.0,3.0
802,5,5.235772357723577,12,17,0.02119700748129676,3.4,0.4852941176470588,0.17647058823529413,0.25882352941176473,17.0
833,6,4.664285714285715,14,10,0.012004801920768308,1.6666666666666667,0.0,0.0,0.0,12.0
1177,10,4.802030456852792,7,6,0.005097706032285472,0.6,0.0,0.0,0.0,11.0
908,6,5.141843971631205,9,8,0.00881057268722467,1.3333333333333333,0.0,0.0,0.0,9.0
774,10,5.129310344827586,12,22,0.028423772609819122,2.2,0.0,0.0,0.0,23.0
979,8,5.129251700680272,18,19,0.01940755873340143,2.375,0.4333333333333333,0.1,0.1625,20.0
929,4,4.867549668874172,10,9,0.00968783638320775,2.25,0.0,0.0,0.0,11.0
905,9,4.798657718120805,11,12,0.013259668508287293,1.3333333333333333,0.0,0.0,0.0,12.0
794,7,4.569343065693431,5,5,0.006297229219143577,0.7142857142857143,0.8,0.4,0.5333333333333333,5.0
